Title: Decisions

URL Source: https://www.asbca.mil/Decisions/

Markdown Content:
| Decision Date | ASBCA Number | Appellant/Petitioner | Judge |
| --- | --- | --- | --- |
| September |  |  |  |
| January 23, 2025 | 64042 | ASRC Communications, Ltd. | Thrasher |
| January 16, 2025 | 63669 | Lambert Engineering & Construction Services, Inc. | Thrasher |
| January 15, 2025 | 62800 | AECOM Technical Services, Inc. | McIlmail |
| January 15, 2025 | 62723 | HDR Engineering, Inc. | O'Connell |
| January 7, 2025 | 63097, 63432 | Deloitte Consulting LLP, Deloitte & Touche LLP, and Deloitte Financial Advisory Services LLP | Melnick |
| January 2, 2025 | 63912 | ViaKorp Corporation | Thrasher |

| Decision Date | ASBCA Number | Appellant/Petitioner | Judge |
| --- | --- | --- | --- |
| December |  |  |  |
| December 19, 2024 | 63739-ADR | Pacific Scientific Energetic Materials Company | Arnett |
| December 19, 2024 | FY24-03 | Red Bobtail Transport | Eyester |
| December 18, 2024 | 62302, 62303 | Sauer Incorporated | Hartman |
| December 12, 2024 | 63816 | A Best Services Inc. | Cates-Harman |
| December 10, 2024 | 63830 | US21, Inc. | Thrasher |
| December 10, 2024 | 63687 | Asturian Group, Inc. | McIlmail |
| December 9, 2024 | 63973 | Logistic Systems, Inc. | Thrasher |
| December 6, 2024 | 63387, 63749 | Barnard Construction Company, Incorporated | Herzfeld |
| December 6, 2024 | 64002, 64003, 64004, 64005, 64006 | FedQuest Solutions Inc. | Thrasher |
| December 5, 2024 | 62736 | Joint Venture WMV Brussels American School | Osterhout |
| December 4, 2024 | 63989 | Quadriga Services, OOD | Thrasher |
| December 3, 2024 | 63913 | LW Support Services | Thrasher |
| December 3, 2024 | 63891 | Targe Logistic Services Company | Thrasher |
| November |  |  |  |
| November 25, 2024 | 63556 | Meltech Corporation, Inc. | Cates-Harman |
| November 22, 2024 | 63713 | GMA-AVM Joint Venture | Thrasher |
| November 21, 2024 | 63695 | H&L Contracting LLC | McLish |
| November 21, 2024 | 63653 | Science Applications International Corporation | Thrasher |
| November 21, 2024 | 63897-ADR | Piagium, LLC | Arnett |
| November 20, 2024 | 63707-ADR | AECOM Construction, Inc. | Woodrow |
| November 20, 2024 | 63896 | Gilbert Solutions, LLC | Thrasher |
| November 19, 2024 | 61320 | Chugach Federal Solutions, Inc. | D'Alessandris |
| November 19, 2024 | 63776, 63777, 63778 | NanoVox, LLC | Thrasher |
| November 15, 2024 | 61769, 61873, 62391 | Philips Lighting North American Corporation | Woodrow |
| November 15, 2024 | 62623 | InDyne, Inc. | McLish |
| November 14, 2024 | 63883, 63921 | BOR INSAAT TURIZM SAN. VE TIC. A.S. | Arnett |
| November 14, 2024 | 62419-ADR, 62630-ADR, 62631-ADR | BAE Systems Ordnance Systems, Inc. | Stinson |
| November 13, 2024 | 63651, 63652, 63724, 63725, 63726, 63811 | Globe Trailer Manufacturing, Inc. | McIlmail |
| November 7, 2024 | 62458 | Left Hand Design Corporation | Young |
| November 7, 2024 | 63538 | KBR Diego Garcia, LLC | Thrasher |
| November 7, 2024 | 63779 | Applied Construction Technologies, LLC | Cates-Harman |
| November 6, 2024 | 63507, 63744 | BR Group | Stinson |
| November 6, 2024 | 63462 | Adrenaline Games Association d.b.a. A.G.A. Nation | Melnick |
| November 6, 2024 | 63836 | ArmorSource, LLC | Thrasher |
| November 5, 2024 | 63640 | Garry Jacques d/b/a Jacques Construction Management and Consulting Services | Thrasher |
| November 1, 2024 | 63024, 63257 | Relyant Global LLC | O'Connell |
| October |  |  |  |
| October 30, 2024 | 63595 | Michael M. Tsontos, S.A. Chania Sucursala Bucuresti | Taylor |
| October 29, 2024 | 63887-ADR | JE Sinn Consulting, LLC | Arnett |
| October 17, 2024 | 63786 | B&R Construction Services, LLC | Wilson |
| October 17, 2024 | 63468 | Soukos Robots Demil USA, Inc. | Taylor |
| October 16, 2024 | 63354 | Solpac Construction, Inc. dba Soltek Pacific Construction Company | Wilson |
| October 10, 2024 | 63030 | D2 Government Solutions | Eyester |
| October 10, 2024 | 63966 | Sadath Business Group, Ltd. | Wilson |
| October 3, 2024 | 63935 | Illinois Crane, Inc. | Wilson |
| October 2, 2024 | 63274-ADR | NuGate Group, LLC | Sweet |
| October 2, 2024 | 63258, 63299 | Oneida Total Integrated Enterprises | McIlmail |
| October 2, 2024 | 63423-ADR | NikSoft Systems Corp. | Smith |
| October 2, 2024 | 62403, 62404, 62405, 62406, 62407, 62408, 62409, 62410, 62805, 63843, 63844, 63845, 63846 | CoSTAR Services, Inc. | Osterhout |
| October 2, 2024 | 62712, 62713, 62877 | Chugach Federal Solutions, Inc, | Melnick |
| September |  |  |  |
| September 23, 2024 | 62067-ADR | Shneez Veritas LLC | McLish |
| September 20, 2024 | 59313, 60294 | David Boland, Inc. | Cates-Harman |
