Title: Decisions

URL Source: https://www.asbca.mil/Decisions/

Markdown Content:
| Decision Date | ASBCA Number | Appellant/Petitioner | Judge |
| --- | --- | --- | --- |
| September |  |  |  |
| May 22, 2024 | 59419, 59420, 59615, 59618, 59619, 59675, 59676, 59683, 59830, 59863, 59867, 59872, 59879, 60024, 60250, 60309, 60365, 60832, 61069, 61294, 61319 | Supreme Foodservice GmbH | O'Connell |
| May 16, 2024 | 63745 | Viasat, Inc. | Thrasher |
| May 15, 2024 | 63664-ADR | L3Harris Technologies Integrated Systems L.P. | Arnett |
| May 14, 2024 | 63882 | Alithos Anesti, LLC | Thrasher |
| May 13, 2024 | 63743 | US Pan American Solutions, LLC | Wilson |
| May 10, 2024 | 63232 | The RAND Corporation | Melnick |
| May 9, 2024 | 63235 | Herman JCG Co. JV¹ | Arnett |
| May 8, 2024 | 63795 | Novielli Boat Builders Inc. | Thrasher |
| May 8, 2024 | 63683, 63692, 63693, 63694 | Product Data Integration Technologies, Inc. d/b/a Modulant | Thrasher |
| May 7, 2024 | 63336, 63337, 63338, 63339, 63340, 63341, 63342, 63343, 63344, 63345, 63551 | Jude and L Construction, LLC | McIlmail |
| May 7, 2024 | 62964 | GLJ, Inc. | Stinson |
| May 7, 2024 | 62797, 62827 | Konecranes Nuclear Equipment & Services, LLC | Herzfeld |
| May 6, 2024 | 63148 | Korte Construction Company | Stinson |
| May 3, 2024 | 63369-ADR | Wildflower International, Ltd. | Sweet |
| May 2, 2024 | 63388, 63389, 63390, 63391 | Coppertop Enterprises, Inc. | Smith |
| May 2, 2024 | 63442 | SBH Services & CORE Construction J/V II, LLC | Thrasher |
| May 1, 2024 | 61960 | Goodloe Marine, Inc. | Prouty |
| April |  |  |  |
| April 29, 2024 | 63069 | DLT Solutions, LLC | Sweet |
| April 29, 2024 | 63252, 63456, 63626 | A4 Construction Company, Inc. | Taylor |
| April 29, 2024 | 63865 | Biscayne Contractors, Inc. | Thrasher |
| April 26, 2024 | 63631 | Enfield Enterprises, Inc. | McNulty |
| April 26, 2024 | 63768 | Ecology Mir Group, LLC | Eyester |
| April 22, 2024 | 63414 | Omran, Inc. | Stinson |
| April 22, 2024 | 62209 | Lockheed Martin Aeronautics Company | Page |
| April 17, 2024 | 63632 | Anderson Contracting, LLC | McLish |
| April 16, 2024 | 62817 | Marine Hydraulics International, LLC | Sweet |
| April 16, 2024 | 63184, 63185, 63186, 63187, 63256 | JE Dunn Construction Company | McIlmail |
| April 16, 2024 | 63455-ADR, 63557-ADR | Gibraltar-Caddell, a Joint Venture | Woodrow |
| April 16, 2024 | 63259 | Research Analysis & Maintenance, Inc. | D'Alessandris |
| April 16, 2024 | 61641-ADR, 61642-ADR, 61708-ADR | Penna Group, LLC | Woodrow |
| April 12, 2024 | 60309 | Supreme Foodservice GmbH | O'Connell |
| April 12, 2024 | 63063-ADR | STG Pacific, LLC | Prouty |
| April 11, 2024 | 63386 | First Street Contractors, LLC | Thrasher |
| April 11, 2024 | 63861 | First Street Contractors, LLC | Thrasher |
| April 9, 2024 | 63859 | Mayflower Communications Company, Inc. | Thrasher |
| April 4, 2024 | 63584 | Ecompex, Inc. | Thrasher |
| April 4, 2024 | 63536-ADR | Sky Blue Builders, LLC | Woodrow |
| April 3, 2024 | 63641, 63642, 63733, 63750, 63751, 63759, 63760, 63761, 63762 | North Wind Construction Services, LLC | Melnick |
| April 3, 2024 | 63605 | The Sithe Group, LLC, dba TSG Industries | Wilson |
| April 3, 2024 | 61014 | Straub Driver, a Joint Venture | McNulty |
| March |  |  |  |
| March 27, 2024 | 62833, 62857, 62880, 62915, 62911, 62860, 62885, 62879, 62878, 62914, 62922, 62910, 62918, 62884, 62863, 62923, 62864, 62865, 62912, 62881 | Gilbane Federal | Stinson |
| March 27, 2024 | 63708 | Inmarsat Government, Inc. | Thrasher |
| March 27, 2024 | 62249, 62727 | Lockheed Martin Aeronautics Company | McLish |
| March 26, 2024 | 63793 | Burgos Group, LLC | Thrasher |
| March 26, 2024 | 63659 | Dublin Crossing, LLC | Eyester |
| March 26, 2024 | 63645 | Polaris Alpha, LLC | Melnick |
| March 26, 2024 | 63315 | Polaris Alpha, LLC | Melnick |
| March 25, 2024 | 61370 | Supreme Foodservice GmbH | O'Connell |
| March 22, 2024 | 63007, 63008 | David Boland, Inc. | Sweet |
| March 20, 2024 | 62981-ADR, 63298-ADR | Delta Industries, Inc. | Eyester |
| March 19, 2024 | 61879 | Pave-Tech Inc. | Wilson |
| March 19, 2024 | 63248-ADR | CAE USA, Inc. | Herzfeld |
| March 18, 2024 | 63226, 63227 | Alpha Alps Construction Inc. | McNulty |
| March 15, 2024 | 63769 | Wolverine Tube, Inc. | Wilson |
| March 13, 2024 | 63629-ADR | Vectrus Systems Corporation | Arnett |
| March 12, 2024 | 63469 | SDC Contracting, Inc. | Smith |
| March 7, 2024 | 63290 | ServeFed, Inc. | Sweet |
| March 7, 2024 | 63515 | Woolpert, Inc. | Wilson |
| March 7, 2024 | 63840 | JML Logistics LLC | Thrasher |
| March 7, 2024 | 63817-PET | California Department of Rehabilitation | Thrasher |
| March 7, 2024 | 63805 | Golden Manufacturing Co., Inc. | Thrasher |
| March 6, 2024 | 63681, 63682, 63706 | Aviate Enterprises, Inc. | Thrasher |
| March 4, 2024 | 63674, 63702, 63717 | Gilbane Federal | Wilson |
| March 4, 2024 | 63279 | Aviation Training Consulting, LLC | McIlmail |
| February |  |  |  |
| February 28, 2024 | 63270 | North American Specialty Insurance Company | Thrasher |
| February 27, 2024 | 63189-ADR | Trident E&P, LLC | Page |
| February 22, 2024 | 63291 | The Haskell Company | Taylor |
| February 21, 2024 | 63472-ADR, 63523-ADR | Vectrus Systems Corporation | Arnett |
| February 21, 2024 | 62366 | Koontz Electric Company, Inc. | Thrasher |
| February 21, 2024 | 61575 | The Boeing Company | O'Connell |
| February 20, 2024 | 63412 | Desbuild, Inc. | McIlmail |
| February 20, 2024 | 63732 | Meggitt Safety Systems Inc. | Stinson |
| February 15, 2024 | 63522 | MTS General Trading & Construction¹ | Arnett |
| February 13, 2024 | 62319 | Kandahar Mahali Transit & Forwarding LTD. | O'Connell |
| February 13, 2024 | 62627 | Patricia I. Romero, Inc. dba Pacific West Builders | Eyester |
| February 13, 2024 | 63565 | Heffler Contracting Group | Melnick |
| February 13, 2024 | 63548, 63549, 63641, 63642, 63733, 63750, 63751, 63759, 63760, 63761, 63762 | North Wind Construction Services, LLC | Melnick |
| February 12, 2024 | 63758 | Wolf Creek Federal Services, Inc. | Prouty |
| February 9, 2024 | 63581 | Tootle Construction, LLC | Herzfeld |
| February 8, 2024 | 63560 | Gideon Contracting, LLC | Herzfeld |
| February 6, 2024 | 63699-ADR, 63700-ADR | Obera LLC | Sweet |
| February 6, 2024 | 63806 | Kawasaki Rail Car, Inc. | Prouty |
| February 5, 2024 | 63250, 63251, 63350 | Amentum Services, Inc. | McIlmail |
| February 5, 2024 | 63210 | MDJ Contracting Inc. | Herzfeld |
| February 5, 2024 | 62657, 62975, 63200 | BCI Construction USA, Inc. | Stinson |
| February 2, 2024 | 62257 | Hamp's Construction LLC | Prouty |
| February 1, 2024 | 63191, 63346, 63347, 63348, 63502, 63503, 63504, 63505, 63506 | Walsh Federal Alberici Joint Venture | McLish |
| February 1, 2024 | 62484 | Tantara Corporation | McNulty |
| January |  |  |  |
| January 31, 2024 | 62413, 62414 | Allard Nazarian Group, Inc. dba Granite State Manufacturing | Stinson |
| January 30, 2024 | 63625-ADR | Accura-SoCo I JV, LLC | Arnett |
| January 30, 2024 | 63583 | Shipping Consultants Associated, Ltd. | Thrasher |
| January 29, 2024 | 63525, 63643 | Dashti Sanat Logistics and General Contracting | Wilson |
| January 25, 2024 | 63240 | KUNJ Construction Corporation | McLish |
| January 25, 2024 | 63284 | Restoration Specialists, LLC | McLish |
| January 25, 2024 | 63483 | Yul Lim Construction Co., Ltd. | Thrasher |
| January 25, 2024 | 63795-PET | Novielli Boat Builders Inc. | Wilson |
| January 24, 2024 | 63574 | TAE Aerospace, Inc. | Thrasher |
| January 22, 2024 | 63183 | JE Dunn Construction Company | McIlmail |
| January 22, 2024 | 63521 | MTS General Trading & Construction | Arnett |
| January 16, 2024 | 63704 | Conweb Mfg. Corp. | Thrasher |
| January 16, 2024 | 63636 | Honeywell International, Inc. | Thrasher |
| January 16, 2024 | 63460 | Chemring Sensors and Electronic Systems | Arnett |
| January 12, 2024 | 63164, 63624 | Orbis Sibro, Inc. | McNulty |
| January 11, 2024 | 62957 | Derian, Inc. | Taylor |
| January 11, 2024 | 63634 | Aviation Training Consulting, LLC | McIlmail |
| January 10, 2024 | 63764 | Bun-D | McIlmail |
| January 9, 2024 | 63650 | Maruf Sharif Construction Company | Thrasher |
| January 8, 2024 | 63253-ADR, 63260-ADR, 63308-ADR, 63368-ADR, 63609-ADR, 63610-ADR | Red Star Enterprises Limited FZCO | McLish |
| January 4, 2024 | 63239 | Vectrus Systems Corporation | Eyester |
| January 3, 2024 | 61819, 61820 | Sand Point Services, LLC | McIlmail |
| January 3, 2024 | 63752 | Government Training LLC | Thrasher |
| January 2, 2024 | 59643 | ECC International Constructors, LLC | McIlmail |
| January 2, 2024 | 59586 | ECC International Constructors, LLC | McIlmail |

| Decision Date | ASBCA Number | Appellant/Petitioner | Judge |
| --- | --- | --- | --- |
| December |  |  |  |
| December 28, 2023 | 63428, 63463 | Horizon Environmental Services, Inc. | Taylor |
| December 28, 2023 | 62628 | Central Environmental, Inc. | Melnick |
| December 26, 2023 | 63318 | G-W Management Services, LLC | Smith |
| December 26, 2023 | 63233 | PAE Applied Technologies LLC | Taylor |
| December 26, 2023 | 61898-EAJA, 62095-EAJA | O-Tech Solutions, LLC | Arnett |
| December 22, 2023 | 63426 | The Boeing Company | Thrasher |
| December 22, 2023 | 63660 | SOC LLC | Thrasher |
| December 21, 2023 | 63461 | Windamir Development, Inc. | McIlmail |
| December 20, 2023 | 63571, 63572, 63573 | McCarthy HITT - Next NGA West JV | McLish |
| December 20, 2023 | 63384 | Trane U.S., Inc. | D'Alessandris |
| December 19, 2023 | 63359 | Sonabend Company | McLish |
| December 19, 2023 | 63109, 63110 | Gilbane Federal | Taylor |
| December 19, 2023 | 61686, 62185 | Innovative Technologies, Inc. | Smith |
| December 18, 2023 | 63409 | Flatland Realty, LLC | McIlmail |
| December 18, 2023 | 63433, 63592, 63740 | Honeywell International Inc. | Sweet |
| December 15, 2023 | 63317 | First Transit, Inc. | McNulty |
| December 14, 2023 | 62773-ADR, 62774-ADR | Wilwood Engineering Inc. | Melnick |
| December 13, 2023 | 63183 | JE Dunn Construction Company | McIlmail |
| December 13, 2023 | 62681, 62843, 62844 | Kellogg Brown & Root Services, Inc. | Herzfeld |
| December 12, 2023 | 63623 | Leebcor Services, LLC | Smith |
| December 12, 2023 | 63709 | Valiant Global Defense Services Inc. | Thrasher |
| December 7, 2023 | 63607 | Booz Allen Hamilton, Inc. | Thrasher |
| December 6, 2023 | 63320 | SBA Contracting LLC | Arnett |
| December 5, 2023 | 62442-ADR, 62686-ADR, 62718-ADR, 62793-ADR, 62794-ADR | Aegis Defense Services, LLC d/b/a GardaWorld Federal Services | Melnick |
| November |  |  |  |
| November 22, 2023 | 63512 | Northrop Grumman Systems Corporation Space Systems, Inc. | Shackleford |
| November 22, 2023 | 63436, 63437 | Xerox Corporation | Shackleford |
| November 22, 2023 | 63630 | Colony Construction | Smith |
| November 21, 2023 | 63593 | Delta Mechanical Contractors, LLC | Shackleford |
| November 21, 2023 | 63731 | Pigott Asphalt and Sitework, LLC | Shackleford |
| November 21, 2023 | 63701 | Mountain Movers Construction, Inc. | McIlmail |
| November 17, 2023 | 62876, 63616 | Shoreline Foundation, Inc. | O'Connell |
| November 15, 2023 | 63562 | National Native American Construction, Inc. | Eyester |
| November 15, 2023 | 63287, 63288, 63289, 63496, 63497 | Firelake Diversified JV | Page |
| November 15, 2023 | 61691 | Doubleshot, Inc. | O'Connell |
| November 14, 2023 | 63284 | Restoration Specialists, LLC | McLish |
| November 13, 2023 | 63290 | ServeFed, Inc. | Sweet |
| November 10, 2023 | 62242, 62243, 63222 | ESA South, Inc. | McIlmail |
| November 8, 2023 | 58958, 58959, 58982, 59038, 59164, 59165, 59392, 59393, 59418, 59419, 59420, 59481, 59615, 59618, 59619, 59653, 59675, 59676, 59681, 59682, 59683, 59830, 59863, 59867, 59872, 59879, 60017, 60024, 60250, 60309, 60365, 60724, 60832, 61069, 61123, 61293, 61294, 61319, 61370, 61837 | Supreme Foodservice GmbH | O'Connell |
| November 1, 2023 | 62281 | Granite Construction Company | Eyester |
| October |  |  |  |
| October 30, 2023 | 62592 | Gulf Extreme Engineering & Construction | Smith |
| October 30, 2023 | 63409 | Flatland Realty, LLC | McIlmail |
| October 27, 2023 | 63532 | Spectrum Healthcare Resources, Inc. | Thrasher |
| October 27, 2023 | 63276, 63367 | Radmacher Brothers Excavating Co., Inc. | Osterhout |
| October 27, 2023 | 63255 | BB Government Services Srl | Smith |
| October 26, 2023 | 63273, 63542, 63608 | A. West Enterprise, LLC | Thrasher |
| October 26, 2023 | 63148 | Korte Construction Company | Stinson |
| October 25, 2023 | 63552 | EDR Construction LLC | Thrasher |
| October 25, 2023 | 62835, 62836, 62837, 62838, 62839, 62840 | Amentum Services, Inc., f/k/a AECOM Management Services, Inc. | D'Alessandris |
| October 24, 2023 | 61320 | Chugach Federal Solutions, Inc. | D'Alessandris |
| October 20, 2023 | 62125 | Alfajer, Ltd. | Osterhout |
| October 19, 2023 | 63464 | LL1Way, LLC | Thrasher |
| October 18, 2023 | 63259 | Research Analysis & Maintenance, Inc. | D'Alessandris |
| October 18, 2023 | 60042, 60620, 60942, 60943, 61111, 61733, 61952, 62796 | Conquistador Dorado Joint Venture | O'Connell |
| October 18, 2023 | 63521 | MTS General Contracting | Arnett |
| October 16, 2023 | 63637-PET | AeroKool Aviation Corp. | Arnett |
| October 13, 2023 | 63716 | Leebcor Services, LLC | Thrasher |
| October 12, 2023 | 63646-ADR | Industrial Marine, Inc. | McNulty |
| October 11, 2023 | 63600 | Johnson Controls Government Systems, LLC | Thrasher |
| October 11, 2023 | 63555 | N.A.C.E. Inc. | Arnett |
| October 11, 2023 | 63370, 63371, 63372, 63373, 63374, 63375 | United Telephone Company of the Northwest, Lumen Technologies Government Solutions, Inc. (fka Qwest Government Services, Inc. dba CenturyLink QGS), and Qwest Corporation | Arnett |
| October 10, 2023 | 63004, 63176 | Pontchartrain Partners, LLC | Woodrow |
| October 10, 2023 | 62422 | IMC Construction Group | McLish |
| October 3, 2023 | 63484 | SAF, Inc. | Thrasher |
| October 3, 2023 | 63320 | SBA Contracting, LLC | Arnett |
| October 3, 2023 | 62684 | Incircle Management, Inc. | Eyester |
| October 2, 2023 | 62109 | Sauer Incorporated | Arnett |
| October 2, 2023 | 63628 | Kondazi Enterprise | Shackleford |
| September |  |  |  |
| September 28, 2023 | 63554 | Fluor-AMEC II, LLC | Shackleford |
| September 28, 2023 | 62482 | Sauer Incorporated | Arnett |
| September 26, 2023 | 62641, 62643 | Meltech Corporation, Inc. | Cates-Harman |
| September 25, 2023 | 63280, 63402 | Delfasco LLC | Melnick |
| September 21, 2023 | 63666 | ETC International, LLC | Thrasher |
| September 20, 2023 | 62124 | ECC International Constructors/Metag(JV) | Sweet |
| September 19, 2023 | 61986 | Draughon, LLC | Osterhout |
| September 18, 2023 | 63013 | J&J Maintenance, Inc. d/b/a J&J Worldwide Services | McLish |
| September 14, 2023 | 63415 | G2 Global Solutions, LLC | Thrasher |
| September 12, 2023 | 62952, 62953, 62954, 62955, 63058 | Charter Contracting Company, LLC | McIlmail |
| September 7, 2023 | 63516-ADR | ENGlobal Government Services, Inc. | Eyester |
| September 7, 2023 | 60414 | ECCI-C METAG, JV | McIlmail |
| September 5, 2023 | 63479 | Southeast Cherokee Construction, Inc. | Woodrow |
| September 5, 2023 | 63635 | Scrimgeour's Farm All, LLC | Smith |
| August |  |  |  |
| August 30, 2023 | 62639 | Modus Operandi, Inc. | Hartman |
| August 30, 2023 | 62890 | Kallidus Technologies, Inc. | Herzfeld |
| August 30, 2023 | 63466 | MVP Network Consulting, LLC | Shackleford |
| August 30, 2023 | 63606 | Whitehorn Construction, Inc. | Thrasher |
| August 29, 2023 | 62897 | BNN | Smith |
| August 25, 2023 | 62957 | Derian, Inc. | Taylor |
| August 25, 2023 | 63601 | Advent Business Company, Inc. | Thrasher |
| August 24, 2023 | 63578 | Diversified Maintenance Systems, Inc. | Sweet |
| August 24, 2023 | 63233 | PAE Applied Technologies LLC | Taylor |
| August 22, 2023 | 63190, 63319 | Deloitte Consulting LLP, Deloitte & Touche LLP, and Deloitte Financial Advisory Services LLP | Thrasher |
| August 22, 2023 | 63395 | Deloitte Constulting LLP, Deloitte & Touche LLP, and Deloi2023/63395 Deloitte Consulting LLP, Deloitte & 8.22.23 Dismissal.pdftte Financial Advisory Services LLP | Thrasher |
| August 22, 2023 | 63404 | The Boeing Company | Thrasher |
| August 21, 2023 | 62402 | L.S. Black-Loeffel Civil Constructors JV | Woodrow |
| August 17, 2023 | 63407 | Superior Maritime Services, Inc. | Arnett |
| August 16, 2023 | 62019 | D&J Machinery, Inc. | Wilson |
| August 16, 2023 | 63449 | CB Portable Toilet Rental and Services | Melnick |
| August 14, 2023 | 63531 | Crowley Government Services, Inc. | McIlmail |
| August 14, 2023 | 62561, 62640 | Pangea, Inc. | McIlmail |
| August 11, 2023 | 62972, 62973 | Sheffield Korte Joint Venture | Cates-Harman |
| August 10, 2023 | 62813-ADR, 63067-ADR, 63068-ADR, 63118-ADR, 63119-ADR, 63120-ADR, 63121-ADR, 63122-ADR, 63123-ADR, 63124-ADR, 63125-ADR, 63126-ADR, 63127-ADR, 63128-ADR, 63129-ADR, 63130-ADR, 63131-ADR, 63132-ADR, 63133-ADR, 63134-ADR, 63135-ADR, 63136-ADR, 63137-ADR, 63138-ADR, 63139-ADR, 63140-ADR | Pensacola Bay Support Services, LLC | Page |
| August 10, 2023 | 63614 | Total Maintenance Solutions South Inc. | Eyester |
| August 10, 2023 | 63661-PET | Talu, LLC | Thrasher |
| August 8, 2023 | 63513 | Ameresco, Inc. | Thrasher |
| August 8, 2023 | 60541, 62144 | Trident Engineering & Procurement, P.C. | Thrasher |
| August 7, 2023 | 62927 | StructSure Projects, Inc. | Eyester |
| August 3, 2023 | 63268-ADR | ANHAM FZCO | Prouty |
| August 1, 2023 | 63027, 63249 | Advanced Concepts and Technologies International, LLC | O'Connell |
| July |  |  |  |
| July 28, 2023 | 63482 | Quarterline Consulting Services, LLC | Osterhout |
| July 27, 2023 | 62413, 62414 | Allard Nazarian Group, Inc., dba Granite State Manufacturing | Stinson |
| July 27, 2023 | 62250, 62251 | Halbert Construction Company, Inc. | Wilson |
| July 26, 2023 | 61686, 62185 | Innovative Technologies, Inc. | Smith |
| July 25, 2023 | 62678, 63081 | Pride Industries | Sweet |
| July 21, 2023 | 63181 | Alpha Marine Services, LLC | Shackleford |
| July 21, 2023 | 63531 | Crowley Government Services, Inc. | McIlmail |
| July 20, 2023 | 62902-ADR | Desbuild, Inc. | Cates-Harman |
| July 20, 2023 | 63294 | OSC Solutions, Inc. | Arnett |
| July 19, 2023 | 63441 | MECTS Services Joint Venture | Young |
| July 19, 2023 | 63458 | LR General Solutions, LLC | Eyester |
| July 18, 2023 | 63599, FY23-01 | Olgoonik FPM JV, LLC | Taylor |
| July 17, 2023 | 63228 | CJW Contractors, Inc. | Shackleford |
| July 14, 2023 | 62604, 62751 | USA Environmental, Inc. | O'Connell |
| July 12, 2023 | 63093 | Patricia I. Romero, Inc. d/b/a Pacific West Builders | McLish |
| July 12, 2023 | 62764-EAJA | ATECH, Inc. | O'Connell |
| July 12, 2023 | 61960 | Goodloe Marine, Inc. | Prouty |
| July 11, 2023 | 62002, 62170 | Sungjee Construction Co., Ltd. | Eyester |
| July 11, 2023 | 62093-ADR, 62818-ADR | Marine Hydraulics International, LLC | Wilson |
| July 10, 2023 | 63613 | Raytheon Company | Shackleford |
| July 6, 2023 | 62031, 62033, 62034 | KHS Corporation | McIlmail |
| July 6, 2023 | 62422 | IMC Construction Group | McLish |
| July 6, 2023 | 62617 | Ashford Leebcor Enterprises, LLC | Herzfeld |
| July 6, 2023 | 63111 | Fidelity and Deposit Company of Maryland | McIlmail |
| July 5, 2023 | 62165 | Northrop Grumman Corporation | Stinson |
| July 5, 2023 | 63248 | CAE USA, Inc. | D'Alessandris |
| July 5, 2023 | 63400-ADR | Phoenix Management, Inc. | McLish |
| June |  |  |  |
| June 29, 2023 | 63406 | USA Environmental, Inc. | Thrasher |
| June 29, 2023 | 62673, 63108 | The Boeing Company | Thrasher |
| June 28, 2023 | 62550, 62672 | Fluor Intercontinental, Inc. | Herzfeld |
