Title: 亞洲田徑紀錄列表

URL Source: https://zh.wikipedia.org/zh-cn/%E4%BA%9E%E6%B4%B2%E7%94%B0%E5%BE%91%E7%B4%80%E9%8C%84%E5%88%97%E8%A1%A8

Published Time: 2014-09-30T16:13:58Z

Markdown Content:
**亚洲田径纪录**是 亚洲田径总会 会员国运动员在各项目创下的最佳成绩。

**标示**： 等待承认 亚洲田径协会未纪录 亚洲田径协会不承认之纪录

ht = hand timing

+ = en route to a longer distance

A = affected by altitude

a = aided road course according to IAAF rule 260.28

# = not recognised by association

nw = no wind measurement

! = timing by photo-electric cell

刘翔 于奥林匹克运动会夺得金牌，曾于 110米跨栏 项目打破世界纪录，迄今仍为亚洲纪录保持者。

十项全能 纪录保持者 德米特里·卡尔波夫

| 项目 | 纪录 | 运动员 | 国籍 | 日期 | 赛事 | 地点 | 参考 |
| 3000 m steeplechase | 8:52.78 | 露丝·杰贝特 | 巴林 | 2016年8月27日 | Meeting Areva | 法国 Saint-Denis | [28] |
| 跳高 | 1.99 m | Marina Aitova | 哈萨克斯坦 | 2009年7月13日 |  | 希腊 希腊 雅典 | [29] |
| 撑杆跳高 | 4.66 m | 李玲 | 中国 | 2015年6月6日 | 亚洲田径锦标赛 | 中国 武汉市 | [30] |
| 跳远 | 7.01 m (+1.4 m/s) | 姚伟丽 | 中国 | 1993年6月5日 | 全国锦标赛 | 中国 济南市 |  |
| 三级跳远 | 15.25 m (+1.7 m/s) | 奥尔加·雷帕科娃 | 哈萨克斯坦 | 2010年9月4日 | Continental Cup | 克罗地亚 Split, Croatia | [31] |
| 铅球 | 21.76 m | 李梅素 | 中国 | 1988年4月23日 | Shijiazhuang Track Classic | 中国 石家庄市 |  |
| 铁饼 | 71.68 m | 萧艳玲 | 中国 | 1992年3月14日 |  | 中国 北京市 |  |
| 链球 | 77.68 m | 王峥 | 中国 | 2014年3月29日 |  | 中国 成都市 | [32] |
| 掷标枪 | 67.59 m | 吕会会 | 中国 | 2017年8月6日 | 世界田径锦标赛 | 英国 伦敦 | [33] |
| 七项全能 | 6942 pts | 加达·舒阿 | 叙利亚 | 1996年5月25日至26日 | Hypo-Meeting | 奥地利 格齐斯 |  |
| 13.78 _(100 m hurdles)_, 1.87 m _(high jump)_, 15.64 m _(shot put)_, 23.78 (+0.6 m/s) _(200 metres)_ / 6.77 m (+0.6 m/s) _(long jump)_, 54.74 m _(javelin)_, 2:13.61 _(800 m)_ |  |
| 十项全能 | 7798 pts | Irina Naumenko | 哈萨克斯坦 | 2004年9月25日至26日 | Decastar | 法国 塔朗斯 |  |
| 12.58 _(100 m)_, 34.63 m _(discus)_, 3.30 m _(pole vault)_, 37.57 m _(javelin)_, 55.91 _(400 m)_ / 14.42 _(100 m hurdles)_, 5.98 m _(long jump)_, 12.51 m _(shot put)_, 1.77 m _(high jump)_, 4:59.03 _(1500 m)_ |  |
| 5000米竞走（道路） | 20:34.76 | 刘虹 | 中国 | 2012年9月16日 | 中国大学生运动会 | 中国 天津市 | [34] |
| 5公里竞走（公路） | 21:39 | 宋丽娟 | 中国 | 1992年7月15日 |  | 中国 乌海市 |  |
| 20:41+ # | 刘宏宇 | 中国 | 1999年5月8日 | Oder-Neisse Racewalking Grand Prix | 德国 艾森许滕施塔特 |  |
| 10000米竞走（道路） | 41:37.9 | 高红苗 | 中国 | 1994年4月7日 |  | 中国 北京市 |  |
| 10公里竞走（公路） | 41:16 | 王妍 | 中国 | 1999年5月8日 | Oder-Neisse Race Walk Grand Prix | 德国 艾森许滕斯塔特 |  |
| 20000米竞走（道路） | 1:29:32.4 | 宋红娟 | 中国 | 2003年10月24日 |  | 中国 长沙市 |  |
| 20公里竞走（公路） | 1:24:38 | 刘虹 | 中国 | 2015年6月6日 | Gran Premio Cantones | 西班牙 拉科鲁尼亚 | [35] |
| 30000米竞走（道路） | 1:53:03.6 | 奥野たまき | 日本 | 1996年10月10日 |  | 日本 东京都 |  |
| 50000米竞走（道路） | 3:48:13.7 | 奥野たまき | 日本 | 1994年5月7日 |  | 挪威 Fana |  |
| 50公里竞走（公路） | 4:08:58 | 尹航 | 中国 | 2017年8月13日 | 世界田径锦标赛 | 英国 伦敦 | [36] |
| 4×100米接力 | 42.23 | 四川队 肖琳 李亚丽 刘晓梅 李雪梅 | 中国 | 1997年10月23日 | 全国运动会 | 中国 上海市 |  |
| 4×200米接力 | 1:33.99 | 陶宇佳 周艳兵 田雯 韦永丽 | 中国 | 2017年4月22日 | IAAF World Relays | 巴哈马 拿骚 | [37] |
| 4×400米接力 | 3:24.28 | 河北队 安晓红 白晓云 曹春英 马玉芹 | 中国 | 1993年9月13日 | 全国运动会 | 中国 北京市 |  |
| 4×800米接力 | 8:16.2 | 辽宁队 刘东 陈玉梅 曲云霞 刘丽 | 中国 | 1991年10月3日 | 全国锦标赛 | 中国 上海市 |  |
| 驿站接力赛 | 2:11:41 | 姜波 15:42 (5 km) 董艳梅 31:36 (10 km) Zhao Fengdi 15:16 (5 km) Ma Zaijie 31:01 (10 km) 兰丽新 15:50 (5 km) Li Na 22:16 (7.195 km) | 中国 | 1998年2月28日 |  | 中国 北京市 |  |

